employee_id,employee_first_name,employee_last_name,clocked_in,customer_id,customer_first_name,customer_last_name,customer_account_number,ticket_id,ticket_createdAt,workorder_createdAt
E569321738-8,Emelita,Cuthbertson,10/22/2020 0:00,C553291060-X,Ashlie,Dimitrijevic,5602249978026585A,T443674411-6,10/21/2020 0:01,11/04/2022 06:13
E569321738-8,Emelita,Cuthbertson,10/22/2020 0:00,C934352888-4,Gustave,Casel,3544570333968476A,T562763203-8,10/21/2020 0:01,11/04/2022 06:13
E569321738-8,Emelita,Cuthbertson,10/22/2020 0:00,C344905789-8,Ivy,Beaumont,3534914237575080A,T512703853-6,10/21/2020 0:01,11/04/2022 06:13
E569321738-8,Emelita,Cuthbertson,10/22/2020 0:00,C445348328-7,Greg,Dawid,3574890631553579A,T738683279-6,10/21/2020 0:02,11/04/2022 06:13
E569321738-8,Emelita,Cuthbertson,10/22/2020 0:00,C233368661-8,Janessa,Sandhill,3587800112112881A,T923116346-9,10/21/2020 0:02,11/04/2022 06:13
E569321738-8,Emelita,Cuthbertson,10/22/2020 0:00,C401806868-9,Alexandro,Godspeede,4911578013203433155A,T945319142-6,10/21/2020 0:05,11/04/2022 06:13
E569321738-8,Emelita,Cuthbertson,10/22/2020 0:00,C055326103-7,Margalit,Giannotti,3555795755242771A,T911934058-3,10/21/2020 0:06,11/04/2022 06:13
E569321738-8,Emelita,Cuthbertson,10/22/2020 0:00,C208773732-0,Bailie,Stentiford,5893770130098482777A,T771727344-6,10/21/2020 0:07,11/04/2022 06:13
E569321738-8,Emelita,Cuthbertson,10/22/2020 0:00,C135904400-0,Mandi,Karoly,3533219849562463A,T015415142-4,10/21/2020 0:13,11/04/2022 06:13
E002730958-4,Anette,Nare,10/22/2020 0:37,C184993758-3,Zeb,Rangall,337941503471384A,T009346314-6,10/21/2020 0:13,11/04/2022 06:13
E002730958-4,Anette,Nare,10/22/2020 0:37,C076586140-2,Dina,Coaten,4017954148573A,T794921225-X,10/21/2020 0:14,11/04/2022 06:13
E002730958-4,Anette,Nare,10/22/2020 0:37,C124378303-6,Nancie,Lemme,3541151188562822A,T755233053-8,10/21/2020 0:18,11/04/2022 06:13
E002730958-4,Anette,Nare,10/22/2020 0:37,C016258152-1,Baudoin,Brasier,675974720925375895A,T340122518-9,10/21/2020 0:20,11/04/2022 06:13
E002730958-4,Anette,Nare,10/22/2020 0:37,C315424281-3,Jonathan,Kinner,3567462137745551A,T915322906-1,10/21/2020 0:21,11/04/2022 06:13
E002730958-4,Anette,Nare,10/22/2020 0:37,C228515910-2,Sherilyn,McGilbon,3564232054328100A,T685400071-8,10/21/2020 0:21,11/04/2022 06:13
E002730958-4,Anette,Nare,10/22/2020 0:37,C371797434-3,Christa,Van den Bosch,3573602729987606A,T386421522-6,10/21/2020 0:23,11/04/2022 06:13
E002730958-4,Anette,Nare,10/22/2020 0:37,C026491427-9,Jase,Snowling,3550699651887629A,T112483591-1,10/21/2020 0:25,11/04/2022 06:13
